period,industry,category,variable,measure,value_pct,unit,publication_flag,publisher,source_table,source_file,source_url,denominator_note
2021-22,Accommodation and Food Services,technology,crm_pct,Customer Relationship Management software,7.9,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,erp_pct,Enterprise Resource Planning software,1.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,edi_pct,Electronic Data Interchange,5.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,digital_platforms_pct,Any digital platforms,57.7,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,cloud_pct,Cloud technology,44.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,cyber_security_software_pct,Cyber security software,44.1,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,data_analytics_pct,Data analytics,3.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,iot_pct,Internet of Things,5.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,ai_use_pct,Artificial intelligence use,1.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Accommodation and Food Services,technology,any_ict_pct,Any ICT used,74.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Transport, Postal and Warehousing",technology,crm_pct,Customer Relationship Management software,4.4,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
